ntsb_no,aircraft_key,ev_date,ev_month,ev_weekday,latitude,longitude,ev_city,ev_state,ev_country,inj_tot_f,inj_tot_s,ev_highest_injury,damage,far_part,acft_category,type_fly,CICTTEvent,CICTTPhase
CEN15FA277,1,6/18/2015,6,Thursday,362527N,1054026E,Taos,NM,USA,1,0,FATL,SUBS,091 ,ULTR,PERS,LOC-I,ICL
ERA15LA244,1,6/6/2015,6,Saturday,350103N,0803719W,Monroe,NC,USA,0,0,NONE,SUBS,091 ,AIR ,PERS,RE,LDG
WPR15LA191,1,6/19/2015,6,Friday,474219N,1141130W,Polson,MT,USA,0,0,NONE,SUBS,091 ,AIR ,PERS,SCF-PP,APR
WPR15LA193,1,6/20/2015,6,Saturday,363932N,1214227W,Salinas,CA,USA,1,0,FATL,SUBS,137 ,HELI,AAPL,LOC-I,MNV
ERA15FA245,1,6/21/2015,6,Sunday,342817N,0773612W,Holly Ridge,NC,USA,1,0,FATL,SUBS,091 ,AIR ,PERS,LOC-I,ICL
GAA15CA129,1,6/19/2015,6,Friday,420855N,0883343W,Hampshire,IL,USA,0,0,NONE,SUBS,091 ,AIR ,PERS,SCF-NP,LDG
GAA15CA128,1,6/18/2015,6,Thursday,334922N,1180831W,Long Beach,CA,USA,0,0,NONE,SUBS,091 ,AIR ,PERS,CFIT,APR
GAA15CA130,1,6/9/2015,6,Tuesday,413514N,0834845W,Swanton,OH,USA,0,0,NONE,SUBS,091 ,AIR ,INST,LOC-G,LDG
WPR15FA195,1,6/22/2015,6,Monday,344916N,1192428W,Maricopa,CA,USA,1,0,FATL,DEST,091 ,AIR ,PERS,LOC-I,MNV
CEN15LA279,1,6/21/2015,6,Sunday,434611N,0875106W,Sheboygan,WI,USA,0,0,NONE,SUBS,091 ,AIR ,PERS,SCF-PP,ICL
GAA15CA127,1,6/20/2015,6,Saturday,431215N,0713018W,Concord,NH,USA,0,0,NONE,SUBS,091 ,GYRO,PERS,LOC-G,TOF
WPR15LA196,1,6/22/2015,6,Monday,355843N,1145005W,Boulder City,NV,USA,0,0,NONE,SUBS,091 ,AIR ,PERS,SCF-PP,ENR
CEN15LA280,1,6/12/2015,6,Friday,,,Taylorville,IL,USA,0,0,NONE,SUBS,091 ,AIR ,INST,LOC-I,APR
ERA15LA249,1,6/19/2015,6,Friday,275358N,0824112W,Clearwater,FL,USA,0,0,NONE,SUBS,091 ,AIR ,PERS,ARC,LDG
GAA15CA133,1,6/23/2015,6,Tuesday,324646N,1031320W,Hobbs,NM,USA,0,0,NONE,SUBS,091 ,GLI ,ASHO,LOC-I,APR
ERA15LA248,1,6/18/2015,6,Thursday,295733N,0812023W,St. Augustine,FL,USA,0,0,NONE,SUBS,091 ,AIR ,INST,SCF-PP,TOF
GAA15CA135,1,6/23/2015,6,Tuesday,435352N,1165924W,Nyssa,OR,USA,0,0,NONE,SUBS,137 ,AIR ,AAPL,RE,TOF
ANC15MA041,1,6/25/2015,6,Thursday,552723N,1310846W,Ketchikan,AK,USA,9,0,FATL,SUBS,135 ,AIR ,,CFIT,ENR
GAA15CA136,1,6/6/2015,6,Saturday,382129N,0963238W,Cottonwood Falls,KS,USA,0,0,NONE,SUBS,091 ,AIR ,PERS,LOC-I,TOF
GAA15CA137,1,6/24/2015,6,Wednesday,430421N,0923639W,Charles City,IA,USA,0,0,NONE,SUBS,091 ,AIR ,PERS,FUEL,ENR
CEN15FA281,1,6/26/2015,6,Friday,405438N,0810000W,Beloit,OH,USA,1,0,FATL,SUBS,091 ,AIR ,PERS,LOC-I,ENR
