PCA_1,PCA_2,ntsb_no,aircraft_key,ev_date,ev_month,ev_weekday,latitude,longitude,ev_city,ev_state,ev_country,inj_tot_f,inj_tot_s,ev_highest_injury,damage,far_part,acft_category,type_fly,CICTTEvent,CICTTPhase
-0.887219872,-0.130016401,GAA15CA240,1,8/26/2015,8,Wednesday,304358N,0860903W,DeFuniak Springs,FL,USA,0,0,NONE,SUBS,91,AIR ,PERS,LOC-G,LDG
0.545264746,0.272714222,WPR15FA250,1,8/27/2015,8,Thursday,342859N,1175009W,Llano,CA,USA,1,0,FATL,SUBS,91,AIR ,GLDT,LOC-I,APR
1.023230753,0.175525992,ERA15FA331,1,8/28/2015,8,Friday,413004N,0740627W,Newburgh,NY,USA,1,0,FATL,DEST,91,AIR ,ASHO,SCF-NP,MNV
0.345130908,-0.571488244,CEN15FA388,1,8/30/2015,8,Sunday,391513N,0874754E,Kewanee,IL,USA,2,1,FATL,SUBS,91,AIR ,PERS,LOC-I,ICL
0.224299686,0.435124606,WPR15LA253,1,8/28/2015,8,Friday,360558N,1150945W,Las Vegas,NV,USA,0,0,NONE,SUBS,91,AIR ,BUS ,GCOL,STD
0.516589206,0.279176593,WPR15LA253,2,8/28/2015,8,Friday,360558N,1150945W,Las Vegas,NV,USA,0,0,NONE,MINR,91,AIR ,BUS ,GCOL,STD
0.21314003,-0.474944707,ERA15LA333,1,8/28/2015,8,Friday,350822N,0864056W,Fayetteville,TN,USA,0,0,NONE,SUBS,91,AIR ,PERS,SCF-NP,ENR
0.360678446,0.57946014,GAA15CA241,1,6/22/2015,6,Monday,385818N,0775211W,Upperville,VA,USA,0,0,NONE,SUBS,91,AIR ,INST,BIRD,ENR
-0.752696065,0.432531868,GAA15CA242,1,8/29/2015,8,Saturday,322732N,0965445W,MIDLOTHIAN,TX,USA,0,0,NONE,SUBS,91,AIR ,GLDT,LOC-G,LDG
0.308161445,-0.537978227,GAA15CA243,1,8/30/2015,8,Sunday,401259N,0782605W,New Enterprise,PA,USA,0,0,NONE,SUBS,91,AIR ,PERS,LOC-I,TOF
-0.741956264,0.51561401,ANC15CA068,1,8/30/2015,8,Sunday,622601N,1512454W,Skwentna,AK,USA,0,0,NONE,SUBS,91,AIR ,POSI,ARC,LDG
0.500321454,-0.004592126,CEN15LA395,1,8/21/2015,8,Friday,282539N,0962719W,Port O'Connor,TX,USA,0,0,NONE,SUBS,91,HELI,PERS,SCF-NP,ENR
-0.219247595,-0.332918923,GAA15CA244,1,9/1/2015,9,Tuesday,391859N,1200805W,Truckee,CA,USA,0,0,NONE,SUBS,91,AIR ,PERS,LOC-G,TOF
